Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
2020-07-24,0.7704571428571428,0.3251428571428572,0.5490285714285714,1.0293142857142856,0.49560000000000004,1.0,0.20634285714285716,0.21285714285714286,0.8142857142857143
2020-07-25,0.77415,0.3345,0.5428999999999999,0.98815,0.48365,1.0,0.20555,0.22375,0.8
2020-07-26,0.7778428571428572,0.34385714285714286,0.5367714285714286,0.9469857142857143,0.4717,1.0,0.20475714285714286,0.23464285714285715,0.7857142857142857
2020-07-27,0.7815357142857143,0.35321428571428576,0.5306428571428572,0.9058214285714286,0.45975000000000005,1.0,0.20396428571428574,0.24553571428571427,0.7714285714285714
2020-07-28,0.7852285714285715,0.3625714285714286,0.5245142857142857,0.8646571428571428,0.44780000000000003,1.0,0.2031714285714286,0.25642857142857145,0.7571428571428571
2020-07-29,0.7889214285714286,0.37192857142857144,0.5183857142857142,0.8234928571428571,0.43585,1.0,0.20237857142857144,0.26732142857142854,0.7428571428571429
2020-07-30,0.7926142857142857,0.3812857142857143,0.5122571428571429,0.7823285714285714,0.4239,1.0,0.20158571428571428,0.2782142857142857,0.7285714285714285
2020-07-31,0.7963071428571429,0.3906428571428572,0.5061285714285715,0.7411642857142857,0.41195000000000004,1.0,0.20079285714285716,0.28910714285714284,0.7142857142857142
2020-08-01,0.8,0.4,0.5,0.7,0.4,1.0,0.2,0.3,0.7
2020-08-02,0.86415,0.47025,0.5016499999999999,0.9107999999999999,0.54405,1.01665,0.2488,0.29155,1.19445
2020-08-03,0.9283,0.5405,0.5033,1.1216,0.6881,1.0333,0.2976,0.2831,1.6889
2020-08-04,0.8183,0.5625,0.3925,1.1141,0.3233,1.1278,0.2448,0.3219,1.2
2020-08-05,0.7567,0.5767,0.4075,1.0734,0.3323,1.0056,0.2864,0.3262,1.4944
2020-08-06,0.7583,0.3195,0.4317,1.4116,0.496,1.2944,0.2668,0.3844,1.2889
2020-08-07,0.87,0.3902,0.5508,1.3212,0.6902,0.6333,0.0804,0.255,1.6944
2020-08-08,0.64,0.509,0.4892,1.3038,0.4388,0.85,0.0674,0.1706,1.4944
2020-08-09,0.78165,0.5387500000000001,0.47250000000000003,1.48485,0.5217,1.26665,0.12975,0.2934,1.49165
2020-08-10,0.9233,0.5685,0.4558,1.6659,0.6046,1.6833,0.1921,0.4162,1.4889
2020-08-11,0.925,0.2135,0.4883,0.8784,0.5271,1.3833,0.1541,0.3375,1.6389
2020-08-12,1.0317,0.4805,0.4883,0.8884,0.3737,1.1389,0.106,0.2581,1.1778
2020-08-13,0.9783,0.685,0.3725,0.6381,0.3162,1.2,0.1781,0.1112,1.5333
2020-08-14,1.09,0.5635,0.4258,1.4556,0.719,0.8,0.1062,0.4956,1.2333
2020-08-15,1.095,0.4802,0.52,1.2681,0.6142,0.5611,0.1016,0.6025,1.6778
2020-08-16,1.0726826086956522,0.4866695652173913,0.5204347826086957,1.254104347826087,0.6169782608695652,0.569795652173913,0.10336086956521738,0.5874173913043479,1.6705521739130433
2020-08-17,1.0503652173913043,0.49313913043478264,0.5208695652173914,1.2401086956521739,0.6197565217391304,0.5784913043478261,0.10512173913043478,0.5723347826086956,1.663304347826087
2020-08-18,1.0280478260869566,0.4996086956521739,0.5213043478260869,1.2261130434782608,0.6225347826086957,0.5871869565217391,0.10688260869565216,0.5572521739130435,1.6560565217391303
2020-08-19,1.0057304347826086,0.5060782608695652,0.5217391304347826,1.212117391304348,0.6253130434782609,0.5958826086956522,0.10864347826086956,0.5421695652173913,1.648808695652174
2020-08-20,0.9834130434782609,0.5125478260869565,0.5221739130434783,1.1981217391304348,0.6280913043478261,0.6045782608695652,0.11040434782608695,0.5270869565217392,1.6415608695652173
2020-08-21,0.961095652173913,0.5190173913043479,0.5226086956521739,1.1841260869565218,0.6308695652173912,0.6132739130434783,0.11216521739130435,0.512004347826087,1.634313043478261
2020-08-22,0.9387782608695652,0.5254869565217392,0.5230434782608696,1.1701304347826087,0.6336478260869565,0.6219695652173913,0.11392608695652173,0.4969217391304348,1.6270652173913043
2020-08-23,0.9164608695652174,0.5319565217391304,0.5234782608695653,1.1561347826086956,0.6364260869565217,0.6306652173913043,0.11568695652173913,0.48183913043478266,1.6198173913043479
2020-08-24,0.8941434782608696,0.5384260869565217,0.5239130434782608,1.1421391304347825,0.6392043478260869,0.6393608695652174,0.11744782608695652,0.46675652173913046,1.6125695652173913
2020-08-25,0.8718260869565218,0.544895652173913,0.5243478260869565,1.1281434782608695,0.6419826086956522,0.6480565217391304,0.11920869565217392,0.45167391304347826,1.6053217391304349
2020-08-26,0.8495086956521739,0.5513652173913044,0.5247826086956522,1.1141478260869566,0.6447608695652174,0.6567521739130435,0.1209695652173913,0.4365913043478261,1.5980739130434782
2020-08-27,0.8271913043478261,0.5578347826086957,0.5252173913043479,1.1001521739130435,0.6475391304347826,0.6654478260869565,0.1227304347826087,0.4215086956521739,1.5908260869565218
2020-08-28,0.8048739130434782,0.564304347826087,0.5256521739130435,1.0861565217391305,0.6503173913043478,0.6741434782608696,0.12449130434782608,0.40642608695652177,1.5835782608695652
2020-08-29,0.7825565217391305,0.5707739130434782,0.5260869565217392,1.0721608695652174,0.6530956521739131,0.6828391304347826,0.12625217391304347,0.39134347826086957,1.5763304347826088
2020-08-30,0.7602391304347826,0.5772434782608695,0.5265217391304348,1.0581652173913043,0.6558739130434783,0.6915347826086957,0.12801304347826087,0.3762608695652174,1.5690826086956522
